id,n,bri.B0,bri.T0,bri.Tm,bri.chisqr,bri.Rsq,bri.aic,bri.bic,bri.aicc
3,10,0.00048012313754110594,-22.734466483659652,36.997231855505,0.22333524871181207,0.46061633939410973,-1.6378930556516504,-0.7301377766695127,2.3621069443483496
4,7,0.0015209354889636523,12.631964079935534,35.46311066850992,0.015680663358748452,0.9875740985783428,-14.843520290906614,-15.005789843740676,-6.843520290906614
8,8,4.117087156131439e-08,-3855950.7080745604,49.85212150152783,3.0689528077730346,0.8486357869235353,23.0381753854333,23.276500010472805,29.0381753854333
9,11,0.0007492320429086069,-336.01065050904793,43.86331819337787,40.50861747102952,0.6023076735909948,53.55646174367307,54.75014756206818,56.9850331722445
10,11,0.018011731284329785,4.8659686155487245,42.69018923258173,143.0848380178335,0.36347779385663337,67.4376147288671,68.63130054726221,70.86618615743853
11,8,0.0001922983454197205,-26.571918885849676,37.59376157147208,0.07288593570657526,0.8894809443597107,-6.883392477490627,-6.64506785245112,-0.8833924774906272
13,14,0.0016927647433126168,-284.2089400019169,61.02468056054516,216.00506520597213,0.971602742685435,86.03770231923333,87.95487430807911,88.43770231923334
15,16,6.511730519172463e-08,-5976611.65244661,52.55556480106392,112.96480943765009,0.8954244536512687,84.67783509559348,86.99560126231282,86.67783509559348
17,7,0.0007239473614027378,-44.2977350903054,41.774219981632136,0.6879673918369348,0.956669089663723,11.625671557173273,11.463402004339214,19.625671557173273
19,7,2.3011456705789723e-08,-2232174.1323684924,36.15581447500039,2.354938352405399,0.6102198031140582,20.23937027010063,20.07710071726657,28.23937027010063
21,7,0.01,2.1398043999999996,,,,,,
23,7,9.421981611325274e-08,-2474034.586894118,36.235127673915194,119.2306276685037,0.4255163608181667,47.71118607756064,47.54891652472658,55.71118607756064
24,7,3.776520368804663e-08,-6313143.606921057,46.59354722201128,22.901875745094102,0.8893565551009747,36.16230014378117,36.00003059094711,44.16230014378117
25,12,5.017603469947767e-07,-2247644.015672089,37.663565449298865,808.1896766317352,0.9052090921250558,92.57320635079965,94.02792630016366,95.57320635079965
26,6,1.4530862438581142e-07,-1223.9910656051338,67.3251045117917,0.0005698754331827341,0.3600265030731341,-30.54385097267957,-31.168572564995408,-18.54385097267957
29,8,5.2570610886630984e-09,-96438.27894374766,42.18111122364595,0.0006615510613723421,0.6566062550188678,-44.499902899004496,-44.261578273964986,-38.499902899004496
32,8,0.0001631896304060083,-25.853814681883158,21.43902584709257,0.011764089188110912,0.7649599587351834,-21.474145217162434,-21.235820592122927,-15.474145217162434
35,8,3.1238507714856e-09,-997694.029465061,33.770859941433855,0.03044052791776122,0.4156409936779898,-13.868359028106394,-13.630034403066887,-7.8683590281063935
36,6,0.00017921495528400316,-6.462337952418858,21.362095477767294,0.011364293420533795,-0.20745683474478183,-12.586968387769076,-13.21168998008491,-0.5869683877690761
38,8,3.057473374535521e-09,-1061505.9568288024,35.34970472294312,0.015610930653537592,0.7085608004536845,-19.210787219533824,-18.972462594494317,-13.210787219533824
39,6,0.01,5.0,,,,,,
41,8,3.0156808792415017e-09,-1321214.3330466398,32.94709075282432,0.01585420246005888,0.8103718633222532,-19.087081197093557,-18.84875657205405,-13.087081197093557
42,6,0.0008431927067066112,2.4137501447366283,15.946053420976273,0.019291504027642768,-0.5076881314624002,-9.411837331783909,-10.036558924099744,2.588162668216091
44,7,2.060659136121188e-08,-281800.685520503,26.190115397529535,0.043142606109196,0.12104306864544556,-7.758941183905478,-7.921210736739538,0.2410588160945224
47,7,0.00015036160708910526,-51.63071342999414,21.96633131189372,0.02696997998549023,0.748065665540134,-11.047447766056077,-11.209717318890139,-3.0474477660560773
53,6,0.008784479975834475,-17.248129552888656,29.378418617757976,66.00925543597737,0.7271027610996295,39.41547537952585,38.790753787210015,51.41547537952585
54,6,0.0067872805044642505,-16.806734490876053,29.52235753013557,36.20855585316777,0.7687409936230539,35.81247822573131,35.187756633415475,47.81247822573131
55,6,0.00889487824813401,-17.36782457634106,29.237780718629946,107.39365467708258,0.5431005501262688,42.335712177750324,41.71099058543449,54.335712177750324
56,6,0.00821175415440312,-9.849305943391599,29.30551180901707,19.79294977148332,0.8656528780990859,32.1886603959544,31.563938803638564,44.1886603959544
57,6,0.009464564896549326,-9.314456937892228,29.616159130742943,14.1308673726997,0.9343477182910103,30.166875063087538,29.5421534707717,42.16687506308754
58,7,0.010978018367579308,-12.587670097348491,30.110855848435563,32.76822374063293,0.9164832668803193,38.66998322339006,38.507713670556,46.66998322339006
59,7,0.0006928032300543226,-47.811335973004226,29.13836363931094,2.047935377584582,0.5772469810839407,19.26159349083776,19.0993239380037,27.26159349083776
60,9,0.0094186698893934,-7.766805794007115,29.03791637276414,19.67811661151025,0.9379555106821214,40.58143707934695,41.173110811355606,45.38143707934695
65,8,0.008511792586325671,-9.107369741582554,28.965778925124706,83.36961710134912,0.5367968009957133,49.453755715027924,49.692080340067434,55.453755715027924
66,6,0.006428452647854799,-12.609383708313821,28.69035036635918,69.28202220008338,-0.33150286998894796,39.70581829885859,39.08109670654275,51.70581829885859
68,6,0.017587172171240364,-5.571187279666353,21.335515350723664,51.58661090280306,0.5768715079364375,37.936278544223335,37.3115569519075,49.936278544223335
69,6,0.004878168190607633,-19.38662568438884,27.707412624476394,33.737689273539516,0.5433330281159421,35.388399114154375,34.76367752183854,47.388399114154375
70,6,0.005098377946618292,-28.2547487065871,30.210945058166914,36.464141356318216,0.7190721813144023,35.85468167765865,35.22996008534281,47.85468167765865
71,7,0.0025038744579561675,-47.07865873189003,29.422104439889743,43.39770134536748,0.2920326507342348,40.63661374865692,40.47434419582286,48.63661374865692
72,7,0.0021206460422209194,-62.93874143228237,32.010920400223,54.29648852889529,0.3529299006975274,42.20498531958699,42.04271576675293,50.20498531958699
74,7,0.0028219606913295055,-50.06941180938928,30.991333775733718,87.69847495245637,-0.09218775564417148,45.561099990493204,45.39883043765914,53.561099990493204
75,6,0.002219848659382094,-34.99366339689068,30.022778267084234,39.57526253892719,-0.13522790211484814,36.34593102131213,35.721209428996296,48.34593102131213
76,9,3.7238665901819034e-08,-2037739.9497963092,42.35417050096807,2.836467695645858,0.9408357388292384,23.14890798186203,23.74058171387069,27.948907981862032
77,7,1.5482832415150925e-08,-4857421.622381323,45.26667593453588,4.183107506552755,0.88233615163551,24.26114917216481,24.09887961933075,32.26114917216481
79,9,4.814430640026225e-08,-2197007.9118273277,42.29164751825339,13.824296761388476,0.9171558852841863,37.40372151216865,37.99539524417731,42.203721512168656
80,7,9.434486151276839e-08,-3667257.97820956,42.753328212458804,143.97428532091837,0.7614613225421634,49.03121138776436,48.8689418349303,57.03121138776436
81,7,0.0001784908019590991,-2376.4016093423515,44.0651044871027,20.809766462009478,0.98406361056399,35.491725347127854,35.32945579429379,43.491725347127854
83,8,4.272683572472314e-07,-29112.518795504482,38.36821282609758,0.260713735902415,0.8127294629056335,3.312826030711822,3.5511506557513286,9.312826030711822
84,9,4.0994292303967617e-08,-200698.06868935452,33.34878363291192,0.08572878130740683,0.7491884387358646,-8.343227645141239,-7.751553913132581,-3.543227645141238
85,7,0.01,0.77002287,,,,,,
107,19,0.02781498189809666,6.631954937623614,44.065760129282175,689.0706606595124,0.9283737217057588,130.14685625925853,132.98017319675785,131.74685625925852
109,6,0.0003655430450889297,-444.15888903334655,38.32102778778958,0.8676594656866681,0.9762748510564236,13.424969811464894,12.800248219149058,25.424969811464894
110,7,2.3475716469116473e-08,-2801228.205045195,34.5633263924682,1.3363078305329146,0.668920913498668,16.27314164602265,16.11087209318859,24.27314164602265
112,8,1.161335468724524e-08,-4184662.658045375,34.97598348620939,0.34090115981486513,0.9320930760208821,5.4581826167981795,5.696507241837686,11.45818261679818
114,7,9.21539554339577e-09,-4461738.040404758,35.328579830664154,0.05710335050509432,0.9797265821468613,-5.796478981880572,-5.9587485347146325,2.203521018119428
116,12,8.920213993444064e-09,-3036431.0740931425,43.58072720641579,1.4122616847684657,0.817385273568361,16.37795441212647,17.832674361490472,19.37795441212647
117,14,4.434310174260452e-09,-6206304.422972375,50.38620275370531,1.1436662261578168,0.8584728108567178,12.662823575617232,14.579995564463006,15.062823575617232
118,14,1.213820571690758e-08,-2678503.829956235,53.36325164721761,0.2257699562320149,0.977305348494649,-10.051865357387829,-8.134693368542054,-7.651865357387829
138,7,0.008458376025147065,1.9171877466029608,46.40693090772138,0.3310401645350611,0.9984893689017162,6.505159445756025,6.342889892921964,14.505159445756025
139,8,0.009828819252719683,-20.35640653108043,42.21703487604503,35.82630441240049,0.9399761538546677,42.69694326764014,42.93526789267965,48.69694326764014
140,10,0.00503297507253164,-54.88041792731331,50.574518140951774,83.50136541706938,0.9703862338166744,57.601549574386446,58.50930485336858,61.601549574386446
141,8,0.01286929303966065,0.8636658065166919,45.41779347601682,29.571888149101017,0.9872968139354064,41.16207768074199,41.4004023057815,47.16207768074199
142,16,6.630321240718667e-08,-2404077.666788289,40.48223803145589,1.98893022086241,0.9891115070084046,20.046164174453175,22.36393034117252,22.046164174453175
143,8,0.002317646429435919,-5.437821080885387,31.673736887783498,1.929788318107341,0.8724000861759387,19.3267667351513,19.565091360190806,25.3267667351513
144,7,0.020989350441021945,-31.931031514419352,36.3714835790085,410.25423312225246,0.9059864379660685,56.36120775967399,56.19893820683993,64.36120775967399
146,7,0.0024222419695933994,-261.4323590366065,43.48004555087522,37.06818488536332,0.9865486109799096,39.533081781607706,39.370812228773644,47.533081781607706
148,8,0.038504352441747894,0.6377001395710538,41.612380996916734,44.699908292080664,0.9964420135942358,44.46725579772499,44.7055804227645,50.46725579772499
158,8,5.354773382224574e-08,-3334772.590555142,41.47601730248642,62.389410766895374,0.060298374903345,47.13464869164699,47.3729733166865,53.13464869164699
159,9,4.2837666323380075e-08,-3539067.1091165333,47.02138388747725,15.289641994767994,0.9190001978614288,38.310452849615444,38.9021265816241,43.11045284961544
160,8,4.8378005395154564e-08,-3177260.8331350214,42.51463923096845,36.3455781898183,0.5292544775052594,42.812064607300925,43.050389232340436,48.812064607300925
161,9,2.8919154641563876e-08,-4130433.311865393,48.685587214213555,25.637541059169667,0.6775618637564085,42.962391925983525,43.55406565799218,47.76239192598352
162,8,3.879159001079717e-08,-3587538.8189213714,41.3350021217803,17.491787098262325,0.7023981892868856,36.96133589462778,37.19966051966728,42.96133589462778
163,8,3.446589153036246e-08,-2903713.231013978,44.525419873687554,12.867894674892028,0.3663409990683695,34.505367592254096,34.7436922172936,40.505367592254096
164,8,3.912255767017199e-08,-4210122.118656466,41.38188210566649,15.372163616333578,0.8732038255299943,35.927950729320415,36.166275354359925,41.927950729320415
165,9,1.97851611284931e-08,-4669837.25490467,47.32414123813383,7.408041811040995,0.8834752715586686,31.78896767396079,32.38064140596945,36.588967673960795
166,7,1.0657068533532693e-07,-2718243.061468294,39.78079573857411,32.31217395762429,0.805429509610063,38.571876854998386,38.409607302164325,46.571876854998386
167,9,0.0001244022438635843,-1715.4578687238395,46.416926443507954,9.532699527552257,0.9768650836901828,34.058423896071496,34.650097628080154,38.8584238960715
168,8,5.071009586811352e-08,-4471572.191831917,42.0534843563625,14.483892490523528,0.9140197952118074,35.451781551745654,35.690106176785164,41.451781551745654
169,8,4.436878647063741e-08,-4210350.156893927,44.86698934343975,6.715991412239861,0.9556897794327744,29.30341588193886,29.541740506978368,35.30341588193886
170,7,1.1716823399209919e-07,-1988867.9106860203,39.016138043343595,20.689340112134595,0.7857731742158478,35.45109860187985,35.28882904904579,43.45109860187985
171,8,5.678463538731847e-08,-2804963.2523624585,42.16595519096399,22.66177807997908,0.46561344517324654,39.03292196027723,39.27124658531673,45.03292196027723
172,7,0.0005891103300782527,-410.1997624737524,40.12722181145133,3.541853171997704,0.9848755788498937,23.09631901707062,22.93404946423656,31.09631901707062
173,8,0.0013897857476663131,-91.12919764095827,41.62515003892739,1.2219049816061953,0.991858930513243,15.670773007967849,15.909097633007356,21.67077300796785
174,7,2.490043972795602e-07,-798896.1654097129,36.9512030815287,8.054387818925765,0.9254973767431343,28.847287516730155,28.685017963896094,36.847287516730155
175,7,3.1312687935677433e-08,-4301829.571235893,37.28453165920417,2.749834363112237,0.9230405708991236,21.32455316936077,21.162283616526707,29.32455316936077
176,7,2.3196116554154655e-08,-3517923.849169995,35.89398295544575,1.7011708783650632,0.8786246455040447,17.962985783204026,17.800716230369964,25.962985783204026
177,7,3.6184149341806116e-08,-3484190.422064171,36.65933014174281,3.6916003032984066,0.883154453902963,23.386188775456652,23.22391922262259,31.386188775456652
178,7,3.6203900580758054e-08,-3805707.9129286893,36.17276758599158,7.11026573434456,0.7751505955285101,27.974545746419388,27.812276193585326,35.97454574641939
179,7,7.340733836512099e-08,-2320545.0051971367,37.64112555420118,5.802349398427519,0.8945137255290696,26.551608751078412,26.38933919824435,34.55160875107841
180,7,3.548890633236436e-08,-3471819.848404571,36.00827376565182,6.926812508555124,0.7350324175015887,27.791566684878983,27.629297132044922,35.79156668487899
181,7,3.5556333060355724e-08,-3166823.8452634797,36.813577547474566,3.733099370263184,0.8336602499105581,23.464440154405924,23.302170601571863,31.464440154405924
182,7,2.006494697361492e-07,-738697.1014554766,36.316146890537716,4.775488091958502,0.9362533196082383,25.188241729918033,25.025972177083972,33.18824172991803
183,7,3.1814292372767755e-08,-3529423.5838788175,35.941378092415746,5.317236870434667,0.7556385450749841,25.9404449036659,25.778175350831837,33.9404449036659
202,6,9.714140721361156e-05,-247.8946731924517,41.18102328591917,0.008245994946962102,0.9777066755588201,-14.511460361817264,-15.136181954133098,-2.5114603618172637
204,8,3.948649927190543e-09,-4969973.644308597,46.34003172412713,0.0466066114972662,0.9889400172321452,-10.46061876448774,-10.222294139448234,-4.460618764487741
