id,n,cubic.a,cubic.b1,cubic.b2,cubic.b3,cubic.Rsq,cubic.aic,cubic.bic,cubic.aicc
3,10,-0.0022792027401195313,0.16820579779899344,-4.0300341338085,33.19058699345277,0.6165570209368941,-3.0502549988892618,-1.8399146269130782,4.949745001110738
4,7,-0.0004632804409449639,0.02781658873758238,-0.41534954945651376,1.769662590919748,0.9872593874896979,-12.668439032511515,-12.88479843629026,7.331560967488485
8,8,4.926271979052249e-05,-0.028725768879271762,1.6199079039202617,-2.740630097403904,0.993378558620687,0.0031684857478140316,0.320934652467157,13.336501819081148
9,11,0.021594879899752804,-2.31087330594326,81.05432516936642,-902.7150620083919,0.6580258986444065,53.896081594339016,55.4876626855325,60.56274826100568
10,11,0.00247949289159164,-0.5225035395833636,26.810958284136934,-351.6068548326515,0.3804572014170996,69.14020199884072,70.73178309003421,75.8068686655074
11,8,-9.191919191919185e-05,0.003985281385281379,-0.012658730158730053,0.1627272727272722,0.9414969432596757,-9.97226408132627,-9.654497914606926,3.3610692520070646
13,14,-0.00206939505374154,0.11922468686057412,0.5759009145100906,21.027569296279662,0.9861649782471269,77.97045097784455,80.52668029630559,82.41489542228899
15,16,-0.0006608971234273876,-0.00018640201738320347,2.1589224236564,8.722875103570573,0.9743293626308439,64.20484440970901,67.29519929866814,67.84120804607265
17,7,-0.0004971979023587896,0.02458257511514426,-0.15021320350301795,1.537316091042428,0.9286062340026139,17.121081724830148,16.904722321051402,37.12108172483015
19,7,-0.00017079115340101257,0.0016934427327868202,0.16892069577836819,1.3117978942480208,0.937043345921215,9.477414606160725,9.261055202381979,29.477414606160725
21,7,1.642543844971578e-05,-0.004531712611939335,0.13426487037626736,1.020482320515514,0.9617767767567611,-10.557143761311739,-10.773503165090485,9.442856238688261
23,7,0.0002806273176594157,-0.04317046736823431,1.1439728289006506,10.463989070703997,0.9792425247727335,26.467229783927944,26.2508703801492,46.46722978392795
24,7,-0.0003710048095295768,-0.01189927085533152,1.5560543430017229,2.6188322520368734,0.9986241537898735,7.451593154499557,7.23523375072081,27.451593154499555
25,12,-0.0021809175362530182,-0.26051805503783415,15.952666631539085,-94.82178607445054,0.9733007447454238,79.36875245992974,81.30837905908174,85.08303817421545
26,6,-6.87324771014492e-06,0.00042684353118012386,-0.006721026664389226,0.040816046540372665,0.5676853435980396,-30.897489392878647,-31.73045151596643,9.102510607121353
29,8,-3.099545459817355e-06,0.00013087562287465674,9.555784520511047e-05,0.016941733343683298,0.7703573334793392,-45.718728949866886,-45.40096278314754,-32.38539561653355
32,8,3.8079172723884273e-05,-0.002634953946116384,0.0482036418404291,-0.04658613965755251,0.8678158322236079,-24.078623036192454,-23.76085686947311,-10.74528970285912
35,8,-4.296237339921254e-07,-0.0005408218946055767,0.019992646160380666,0.04347816374442657,0.5720358725321742,-14.360168252634523,-14.04240208591518,-1.026834919301189
36,6,2.2134776444444104e-05,-0.0014845239076190253,0.028345517850793252,-0.048021357999998314,0.321272241178833,-14.043277594193562,-14.876239717281342,25.95672240580644
38,8,-3.058661001629007e-06,-0.000440184509219045,0.021297857070268225,0.025532231836087528,0.7155932477791721,-17.40619495166312,-17.08842878494378,-4.072861618329787
