id,n,sch.B0,sch.E,sch.Th,sch.Eh,sch.chisqr,sch.Rsq,sch.aic,sch.bic,sch.aicc,sch.Rsq_log,sch.aic_log,sch.bic_log,sch.aicc_log
3,10,1.228256052805897,0.22770655186666675,304.81916201579975,99.99999961511782,0.03240694346366469,0.6894713377029366,-5.159402167685137,-3.9490617957089533,2.840597832314863,0.6871429857605995,-17.73056564096755,-18.940906012943735,-10.940906012943735
4,7,0.11079849824467765,1.3972829223727923,301.90931853315186,3.4840262859196285,0.11848327083541368,0.7815987710473807,7.222334976939681,7.005975573160934,27.22233497693968,0.8809978756816397,1.0965244983956675,1.3128839021744145,21.312883902174413
8,8,15.164178721318416,0.2217875003348328,314.2902047072525,0.8998872634423067,0.00020047348870920638,0.9960904937120436,-4.212047356677974,-3.8942811899586314,9.12128597665536,0.9964495114863146,-51.73337800224065,-52.05114416895999,-38.71781083562666
9,11,28.546691999999997,9.764608323237663,302.115866,97.64608323237664,,,,,,,,,
10,11,6.800753231056853,0.8535954183736599,307.36492594503926,1.7815570817292843,0.06195981715476158,0.380114519880984,69.146284637196,70.7378657283895,75.81295130386268,0.3739463752948099,-14.162580538128815,-15.754161629322297,-9.08749496265563
11,8,0.34264464679881057,1.0854876404070444,298.31261963468387,2.2347295446660476,1.930785459261826,-0.6251789335680469,16.622089493255515,16.939855659974857,29.95542282658885,0.4522643104696422,21.64866551524539,21.330899348526046,34.66423268185938
13,14,38.63890798284762,0.3417813208260719,319.3834152767634,1.2685350607943415,0.011086913940791825,0.9885139137032919,75.36551619892126,77.92174551738229,79.8099606433657,0.9933334526388785,-47.68815143194753,-50.24438075040857,-45.799936305964124
15,16,31.738511359866934,0.3012069412581258,313.2933653420227,1.0576172725803077,0.018600169549930053,0.9565406399118106,72.62849923609863,75.71885412505776,76.26486287246227,0.968121280037197,-49.6183849277981,-52.70873981675722,-49.07237618039359
17,7,2.1368971493648345,0.41270577714554985,310.48744600214394,3.563668343103414,0.08351545543639297,0.9263148270282655,17.34221902959701,17.12585962581826,37.34221902959701,0.95825591284235,-1.3516559667472778,-1.1352965629685308,18.86470343703147
19,7,2.8855250631687923,0.4179155747334913,299.9401475223412,1.553995024631301,0.07180078573180143,0.89174149481623,13.271942927861446,13.0555835240827,33.271942927861446,0.9151843115199811,-2.4096099998364062,-2.193250596057659,17.80674940394234
