id,n,bri.B0,bri.T0,bri.Tm,bri.chisqr,bri.Rsq,bri.aic,bri.bic,bri.aicc
3,10,0.0004801223984716915,-22.734528845526675,36.99723652674148,0.22333524871155291,0.4606163393947357,-1.6378930556632518,-0.7301377766811141,2.362106944336748
4,7,0.0015209355072748321,12.631964178618487,35.46311060316827,0.015680663358748438,0.9875740985783428,-14.843520290906621,-15.005789843740683,-6.843520290906621
8,8,4.1295692928778524e-08,-3844296.01533425,49.852121316046535,3.0689532625866347,0.8486357644916156,23.03817657101964,23.276501196059147,29.03817657101964
9,11,0.0007492250788980871,-336.0140095772971,43.86332179535479,40.50861747102286,0.6023076735910602,53.55646174367126,54.75014756206637,56.98503317224269
10,11,0.018011731595363362,4.865968818843728,42.69018911226335,143.0848380178333,0.36347779385663426,67.43761472886709,68.6313005472622,70.86618615743852
11,8,0.00019229844448519435,-26.57189803752164,37.59375997304095,0.07288593570656643,0.8894809443597241,-6.883392477491597,-6.64506785245209,-0.8833924774915971
13,14,0.0016927647325454098,-284.2089419414702,61.0246805713049,216.0050652059732,0.9716027426854348,86.0377023192334,87.95487430807918,88.43770231923341
15,16,6.514993794920497e-08,-5973617.22578245,52.555564785109254,112.96481156688736,0.8954244516801578,84.67783539717234,86.99560156389168,86.67783539717234
17,7,0.0007239473592351647,-44.29773556625236,41.77421994160417,0.6879673918369287,0.9566690896637233,11.625671557173213,11.463402004339152,19.625671557173213
19,7,8.825174034662981e-08,-682334.120054352,32.610134661369536,5.334661499910487,0.11702766756885075,25.963346458090527,25.801076905256465,33.96334645809053
21,7,1.3189469999999999,2.1398043999999996,,,,,,
23,7,2.8152649953684844e-07,-1073431.0660631594,31.717655828649026,178.53763297439235,0.13976005051985674,50.53736427738427,50.37509472455021,58.53736427738427
24,7,3.8100379765090896e-08,-6257604.780105742,46.593547113266595,22.901881885933932,0.8893565254333754,36.16230202073979,36.00003246790573,44.16230202073979
25,12,1.8083596665957004e-06,-658947.8967513082,36.79906802995005,878.6573353590961,0.8969440851103325,93.5763848440395,95.0311047934035,96.5763848440395
26,6,1.7455408824364224e-07,-1021.2716777000824,66.81695192942412,0.0005698763055194453,0.3600255234338251,-30.54384178818774,-31.168563380503578,-18.54384178818774
29,8,5.175498451739304e-09,-97958.24200291907,42.18117466939863,0.0006615508764819715,0.6566063509905933,-44.499905134845775,-44.261580509806265,-38.499905134845775
32,8,0.0001631896322602299,-25.853814283531303,21.439025837030467,0.01176408918811091,0.7649599587351834,-21.474145217162434,-21.235820592122927,-15.474145217162434
35,8,3.1313664945281083e-09,-995299.2284621387,33.770859695363974,0.030440528920847858,0.415640974421993,-13.868358764487677,-13.63003413944817,-7.868358764487677
36,6,1.7243621263088788e-09,-989525.6307502444,31.353565960757397,0.00922981092136548,0.019332054532493315,-13.83519471233052,-14.459916304646354,-1.8351947123305195
38,8,3.056675157305953e-09,-1061783.3550324219,35.34970472912964,0.015610930581529694,0.7085608017979942,-19.210787256435093,-18.972462631395587,-13.210787256435093
39,6,1.3661468276139403e-09,-1219673.1547425764,35.33182368167083,0.0036400056189525034,0.4297933062511754,-19.417914738910717,-20.042636331226554,-7.417914738910717
41,8,2.8886747237102277e-09,-1379305.4309010948,32.947093468286624,0.015854190035449463,0.8103720119298882,-19.087087466529976,-18.84876284149047,-13.087087466529976
42,6,7.340490177830803e-09,-399007.5654360728,25.59397744990276,0.008267650101545173,0.35385867709835217,-14.495724162862423,-15.120445755178258,-2.495724162862423
44,7,3.5638436044919864e-09,-1199442.508789996,30.698980942167086,0.04052444487756827,0.17438363310087968,-8.197180946598216,-8.359450499432278,-0.19718094659821617
47,7,0.00015036160852279696,-51.63071301204942,21.96633131337251,0.02696997998549022,0.7480656655401341,-11.04744776605608,-11.209717318890142,-3.047447766056081
