id,n,sch.B0,sch.E,sch.Th,sch.Eh,sch.chisqr,sch.Rsq,sch.aic,sch.bic,sch.aicc,sch.Rsq_log,sch.aic_log,sch.bic_log,sch.aicc_log
211,6,27.006607492543793,0.36875088101410275,303.54416779587785,2.1228484881995824,0.023995953209198454,0.9449209093593759,37.97304711020296,37.14008498711518,77.97304711020297,0.9653592809147418,-6.935477014809518,-6.1025148917217376,33.89748510827826
216,6,0.9494885391761385,0.216983633562974,304.0785244845415,4.972086876404017,0.009203494488743896,0.9879749370409642,-10.005840688887886,-10.838802811975667,29.994159311112114,0.9974490380223122,-12.68528872788068,-11.8523266047929,28.1476733952071
243,7,25.030993826488356,0.2122759453068516,319.06744163997286,8.329914854385239,0.6622486365012413,0.8963890753954615,56.58467626566565,56.3683168618869,76.58467626566565,0.9563933607798244,13.142609549657028,13.358968953435774,33.35896895343578
244,6,139.45049807898553,1.5664604974399752,281.1651611940869,1.5770566793601093,6.81416491130267e-05,0.9993690220140545,11.734718700775902,10.901756577688122,51.7347187007759,0.9995774894703793,-42.11978820513682,-41.28682608204904,-1.2868260820490391
247,7,75.79347797062057,0.01086355840934365,324.93619576584865,14.671055354342645,0.016196798990357208,0.9933980015026288,39.64490189369593,39.428542489917184,59.64490189369593,0.9967265406469157,-12.833182528490635,-12.616823124711889,7.383176875288111
256,8,0.031420780403083465,1.6776217154384325,295.6378067333876,5.425257344900713,33.47274147941609,-0.5048940569793339,21.035514963411757,21.3532811301311,34.36884829674509,-2.998212658438662,44.471101727965895,44.15333556124655,57.486668894579886
257,8,0.7602699727946396,0.45262365936848115,301.4826273878721,1.9412043197237656,0.01574639631294142,0.9682319802704932,-15.163053828413723,-14.84528766169438,-1.8297204950803891,0.9802464436984948,-16.8238995987886,-17.14166576550794,-3.8083324321746073
258,8,0.35818049999999996,32.269814111753995,294.209864,322.69814111753993,,,,,,,,,
259,8,0.17158058140927807,2.0895712936855406,295.2082172300624,4.401870609815301,0.4736067050158337,0.8941389692430034,13.03168755318961,13.34945371990895,26.36502088652294,0.9288339752945296,10.406226060857549,10.088459894138207,23.42179322747154
260,8,0.34549265368189497,1.467183208314985,297.1357121539252,4.2322351673244265,2.8592810056650766,0.7071360589414033,24.014641565323657,24.332407732043002,37.34797489865699,0.41109175044298707,24.789811937401268,24.472045770681923,37.80537910401526
266,6,69.07354565966422,0.040605568764151515,313.88422629202796,41.35989744635387,0.03309063761228309,0.9666219965365631,48.92551643041571,48.09255430732793,88.92551643041571,0.9988581790938676,-5.007285869211032,-4.174323746123251,35.82567625387675
269,9,68.24631779463904,0.010446764784814263,315.71460937266045,10.036268786052434,0.3127460339804201,0.9458747925077602,64.36063635583247,65.14953466517734,74.36063635583247,0.9096131762538824,6.0934964135034555,5.304598104158577,15.304598104158577
271,10,97.3,130.27658077392658,312.54413999999997,1302.7658077392657,,,,,,,,,
274,6,60.930358195606956,0.6548974665253092,310.48407525203095,4.390778460794014,0.04920681877851277,0.971153546182218,61.01198380326198,60.179021680174195,101.01198380326198,0.9510486625376191,-2.6265949721668562,-1.793632849079076,38.206367150920926
275,6,3.249296057313307,4.262768518115338,289.2911336392721,3.7865308229217463,8.909043203099736e-05,0.999805601517482,29.411607745755806,28.578645622668027,69.4116077457558,0.9999086889676035,-40.51140822319889,-39.67844610011111,0.32155389988889027
278,45,0.3455323411001191,0.3142759230654891,315.1849685109966,2.919528379653738,3.7854484805079505,0.6278253830100504,-24.643052767316632,-17.416402808235354,-23.643052767316632,0.761443981896382,33.53370250274947,26.307052543668192,27.307052543668192
279,7,0.4098451393376682,0.313334750224759,300.1171133964647,1.021116840458877,0.01604441072015612,0.7549525366337866,-23.971983149533056,-24.188342553311802,-3.971983149533056,0.7759716867482909,-12.89935410483869,-12.682994701059943,7.317005298940057
280,7,0.41744060353231693,0.25554474303745023,305.09183626870265,2.854297358086358,0.025331726353702903,0.9085178933761809,-19.45719144577129,-19.673550849550036,0.54280855422871,0.8977947833162587,-9.702474621777068,-9.486115217998321,10.513884782001679
281,20,7.285168334044292,0.6518485215548459,293.9063963976927,6.980643592244471,0.7209896591176921,0.639788858905395,104.20854676926965,108.1914758634856,106.87521343593632,0.8126019483907021,4.283215266991906,0.3002861727759427,2.9669528394426092
282,13,0.47613058251996515,1.3092863170006734,300.9702319635961,12.901907363804147,27.046683005414568,-0.10605564672626011,62.42804351622212,64.68784094606826,67.42804351622212,0.6248644449185009,58.676194497828845,56.4163970679827,61.4163970679827
283,14,1.2827673434947215,1.2031199298793014,293.07069601424826,2.1201399770888076,45.37279795405086,0.17991947368559646,51.946977273650305,54.50320659211134,56.39142171809475,0.03546900996387592,68.74848429414601,66.19225497568497,70.63669942012942
284,13,0.3170458870281998,2.7184985783750086,291.15336344407604,4.925200943128138,11.215771513529695,0.8345051290359624,27.520583886890392,29.780381316736538,32.52058388689039,0.6617047440185073,47.23303010808642,44.97323267824027,49.97323267824027
285,13,0.11418787646708149,2.7069354717034297,293.73098129515904,4.2630631381545845,7.789108008929869,0.575027647504379,33.12479395794067,35.38459138778681,38.12479395794067,0.8477392139786226,42.49330017921812,40.23350274937197,45.23350274937197
286,10,2.506076305873198,0.2199362572105064,298.22917523893454,8.905956723696686,0.15415112004396098,0.7899386419464742,18.65123245923722,19.861572831213405,26.65123245923722,0.9189423819313219,-2.1349584812793267,-3.3452988532555104,4.65470114674449
287,15,0.28617882885536283,2.1158797669916476,293.92512580345857,3.3921964671872957,26.01729819882732,0.7223548081988656,37.303229071047966,40.13542987545681,41.303229071047966,0.4337704913724578,63.66102826606878,60.82882746165994,64.82882746165994
288,12,0.6688375242585938,0.8620933097976377,299.40330638338867,12.152545896142877,6.005886097426491,0.6669454039135077,32.515720287263036,34.45534688641504,38.23000600154875,0.8416222238422296,37.68815165361435,35.74852505446235,41.462810768748064
289,14,0.14457224088648607,1.4446922885820543,298.9665786871362,5.47042287685,38.269657491753065,0.22867291974076998,51.360490259114584,53.91671957757562,55.80493470355903,0.5198517824527737,66.36490852816326,63.80867920970222,68.25312365414666
290,6,12.120318505514424,1.0553660815431696,294.80437051291136,1.5393068606266722,0.007207309246726845,0.9830508052748521,28.26739117210804,27.43442904902026,68.26739117210803,0.9927605577636114,-14.152214108460546,-13.319251985372766,26.680748014627234
