id,n,quad.a,quad.b1,quad.b2,quad.Rsq,quad.aic,quad.bic,quad.aicc
328,8,-0.02085732021630041,2.2736243713083044,-6.905495162352794,0.99565282919784,27.79073883571032,28.02906346074983,33.79073883571032
329,8,-0.015026717320686575,1.3394330867469282,1.4118378854073135,0.9891603993722141,24.21544280427607,24.453767429315576,30.21544280427607
330,7,-0.031126964087509982,3.354688330701156,-14.36536571892957,0.9656363526047301,43.6515403393751,43.48927078654104,51.6515403393751
331,7,-0.07052219609113919,3.8338510038634546,-12.661263095388788,0.9992625661071456,7.263838520376829,7.101568967542769,15.26383852037683
332,8,-0.06384659357321591,3.427458486035686,-0.38145916488326176,0.9701270132871026,41.74420457541855,41.98252920045806,47.74420457541855
333,8,-0.04847158620112337,2.1687662157630063,6.421754415338235,0.9827940328908701,25.292755307974254,25.53107993301376,31.292755307974254
334,8,-0.10098752799879446,5.177564110897499,-10.399163472914765,0.9718666049937769,43.17672261005583,43.415047235095344,49.17672261005583
335,8,-0.06312130166002045,2.8606086976189538,5.04607486893098,0.9552193433540362,33.798627736816144,34.03695236185565,39.798627736816144
336,8,-0.011173130698616307,2.4550291464151295,1.6089451537186295,0.9678835334144539,49.486364029583356,49.72468865462287,55.486364029583356
337,9,-0.03989441983405713,2.4747646874124882,4.486324066070398,0.9885669243234838,34.39334063097934,34.985014362988,39.193340630979336
338,8,-0.021363509776602743,1.1421895446160126,-9.20772231898187,0.7354520315723547,36.9209324960144,37.159257121053905,42.9209324960144
339,8,-0.019836389887236808,1.0772356932971043,-8.928221268206478,0.6064566437266797,40.88637074763451,41.12469537267401,46.88637074763451
340,11,-0.0009462071656372676,0.06314316225458518,-0.19311692253152082,0.8537078249988044,-8.670391030037695,-7.476705211642583,-5.241819601466267
341,19,-0.0019339133300579872,0.1271391601281682,-1.247834354644628,0.8202370850073609,-20.937551111118395,-18.104234173619076,-19.337551111118394
342,9,0.028410256410256074,2.910358974358992,7.978461538461321,0.917103130639006,72.03139577704887,72.62306950905753,76.83139577704887
344,9,-0.19979487179487185,12.30117948717949,-52.92076923076931,0.5758294761879752,83.59237718011853,84.18405091212719,88.39237718011853
347,8,-0.16661852851794384,8.300180447293066,-10.841508703970382,0.8150465419567148,75.26159799314622,75.49992261818574,81.26159799314622
348,7,-0.20837395151515473,12.339239681732101,-90.55425134689429,0.9318512997829967,58.99993568629547,58.83766613346141,66.99993568629547
349,6,-0.2056028085888864,12.03996685671386,-86.57523317541259,0.9440015203371873,50.78957363199814,50.1648520396823,62.78957363199814
350,6,0.022001302245112354,2.830396397853241,-45.245737051599356,0.9844638094070591,41.8023808096631,41.17765921734726,53.8023808096631
363,8,-2.929744808911771,141.40279959179642,-747.4713699786599,0.7097155059418209,117.56452337973009,117.8028480047696,123.56452337973009
364,7,-2.1220173845593844,96.27411607004193,-318.88473847550716,0.6835225457186211,100.39293185898039,100.23066230614633,108.39293185898039
365,7,-0.0007095149510981697,0.018044011353358137,0.352967974514307,0.7171834226445453,-9.581595085388795,-9.743864638222856,-1.5815950853887948
366,7,-0.0016046341511952447,0.06766655422642896,-0.12838306959107101,0.8577198231852211,-16.842464128611134,-17.004733681445195,-8.842464128611134
373,8,-0.024853246695804115,2.0408886635899868,-29.991188410935038,0.7819672080065122,42.43854799075157,42.67687261579108,48.43854799075157
374,7,-0.0056952593790537825,0.2525432145691967,19.766142115483458,0.5055588049989741,58.161038733581265,57.9987691807472,66.16103873358126
375,7,-0.02160185118703369,2.1166369747822382,-33.22072896046931,0.7045414523013808,50.91069655873275,50.74842700589869,58.91069655873275
376,7,-0.02706737175365851,2.057297501537009,-11.223749098127284,0.39364391173465685,65.28104265191618,65.11877309908212,73.28104265191618
385,6,-0.09511033060698589,5.985287140267901,14.158409831630276,0.970119122335684,41.26407946726553,40.639357874949695,53.26407946726553
386,6,-0.049833300031984246,1.848135273889545,33.142640813125446,0.8917645244988743,36.55119143907062,35.926469846754784,48.55119143907062
388,6,-0.03826014752085779,2.44789525988325,24.44637845243678,0.8638301799608135,40.71686363908222,40.092142046766384,52.71686363908222
389,6,-0.04148532768780547,1.2798279101499745,27.321048103161665,0.8933695285759548,38.38669126289413,37.761969670578296,50.38669126289413
391,6,-0.049621884578749664,3.287968118163651,12.240959735435213,0.8905321109502059,43.25014808904648,42.62542649673065,55.25014808904648
392,6,-0.045683376386072026,1.908130055011081,15.751478329340722,0.6363627696470489,42.196438642502976,41.57171705018714,54.196438642502976
394,6,-0.041561969886357915,2.5770540886751254,8.860523735592427,0.9609975453159418,31.972207856694858,31.34748626437902,43.97220785669486
395,6,-0.03821350958786992,1.5130589392162714,13.076574372264544,0.9099639482991311,30.856038069211074,30.231316476895238,42.856038069211074
397,7,-0.11718490065914736,6.344776110530533,1.0522098176745638,0.5249303418482247,66.43587800073482,66.27360844790076,74.43587800073482
398,6,-0.025853130355288453,0.7064829919930271,30.506274782354183,0.968457067248731,26.49989064258458,25.875169050268745,38.49989064258458
400,7,-0.13448442129446278,7.044680977132162,0.9030642851279967,0.5679453927215153,66.08168546250852,65.91941590967446,74.08168546250852
401,6,-0.04783992473352778,1.3431418191025244,37.392675530916634,0.9251271697615967,39.059568938275405,38.43484734595957,51.059568938275405
403,7,-0.10948843013300816,5.972336352009438,-5.555923245455087,0.6970315296614884,59.37811467622008,59.21584512338602,67.37811467622008
404,6,-0.03873267151543376,1.4987621400087976,17.338983993582882,0.8616321150740647,34.12770201050413,33.502980418188294,46.12770201050413
406,7,-0.12275387887231239,6.519130203418607,-10.431486684790208,0.7478249857493702,59.49116416916911,59.32889461633505,67.49116416916911
407,6,-0.07171817855609722,3.3395204292086276,3.408834636651089,0.6628498917606163,46.17737593901224,45.5526543466964,58.17737593901224
409,7,-0.4702121008952148,20.62487484109119,55.355417701702066,0.8442851652362121,77.04932763493291,76.88705808209885,85.04932763493291
410,6,-0.24264405498970068,9.068092546092712,102.20180908779571,0.5840351388759086,64.85299459125255,64.22827299893672,76.85299459125255
412,6,-0.2252522487363166,10.132919452978868,18.86255186585547,0.6708082476930992,59.88853759276481,59.263816000448976,71.8885375927648
415,6,-0.12329603395042751,6.549542933194802,8.34147965868341,0.7452136089088818,52.99851885520199,52.37379726288616,64.998518855202
416,6,-0.07083343647169166,2.7957321969148223,22.226357593847517,0.5903497593410376,50.1150473128951,49.490325720579264,62.1150473128951
