"id","n","traits","Quadratic","Cubic","Briere","Schoolfield","quad_delta","cubic_delta","bri_delta","sch_delta","sch_best"
"389","6","photosynthesis",37.7619696705783,33.5420271294248,51.9106527275827,29.0680288407632,8.6939408298151,4.4739982886616,22.8426238868195,0,1
"391","6","photosynthesis",42.6254264967306,38.0487901664673,45.1241223912415,27.1479678786927,15.4774586180379,10.9008222877746,17.9761545125488,0,1
"392","6","photosynthesis",41.5717170501871,36.2802053490674,46.9991320621508,19.144767140515,22.4269499096721,17.1354382085524,27.8543649216358,0,1
"394","6","photosynthesis",31.347486264379,23.423872495643,39.390363798723,22.3845596904962,8.9629265738828,1.0393128051468,17.0058041082268,0,1
"395","6","photosynthesis",30.2313164768952,13.8637724814967,44.5146886461522,2.66278758294182,27.5685288939534,11.2009848985549,41.8519010632104,0,1
"397","7","photosynthesis",66.2736084479008,64.3630109853702,62.8491717692056,44.5461957927363,21.7274126551645,19.8168151926339,18.3029759764693,0,1
"400","7","photosynthesis",65.9194159096745,64.2382211944901,62.2163154045911,48.5304413847923,17.3889745248822,15.7077798096978,13.6858740197988,0,1
"401","6","photosynthesis",38.4348473459596,34.7817370364263,55.022611255371,34.8327247347899,3.6531103095333,0,20.2408742189447,0.0509876983635991,1
"403","7","photosynthesis",59.215845123386,57.6727364804791,55.6111357718341,49.1904506847352,10.0253944386508,8.48228579574391,6.4206850870989,0,1
"404","6","photosynthesis",33.5029804181883,31.1200960790225,46.9704387168885,27.3134183250911,6.1895620930972,3.8066777539314,19.6570203917974,0,1
"406","7","photosynthesis",59.328894616335,58.2440238934584,54.8402538420442,56.9299764677714,4.4886407742908,3.4037700514142,0,2.0897226257272,0
"407","6","photosynthesis",45.5526543466964,45.5482888627432,45.2801584397882,44.0052016817519,1.5474526649445,1.5430871809913,1.2749567580363,0,1
"409","7","photosynthesis",76.8870580820988,65.9754820692776,78.4894109239033,85.969937259102,10.9115760128212,0,12.5139288546257,19.9944551898244,0
"410","6","photosynthesis",64.2282729989367,55.3360660130184,68.7749899789405,46.1253857793621,18.1028872195746,9.2106802336563,22.6496041995784,0,1
"412","6","photosynthesis",59.263816000449,52.1884570449295,57.9910451213904,37.0753594885084,22.1884565119406,15.1130975564211,20.915685632882,0,1
"415","6","photosynthesis",52.3737972628862,48.5986611519644,51.0971523592164,40.5038419258328,11.8699553370534,8.0948192261316,10.5933104333836,0,1
"416","6","photosynthesis",49.4903257205793,47.3851377939538,52.8733152717472,40.7681979816581,8.7221277389212,6.6169398122957,12.1051172900891,0,1
"418","6","photosynthesis",47.3677740843313,44.1146539445323,48.6942530600938,43.3599674068336,4.0078066774977,0.754686537698703,5.3342856532602,0,1
"419","6","photosynthesis",44.1889797426728,37.8902116595277,51.8633409477657,25.7248417326113,18.4641380100615,12.1653699269164,26.1384992151544,0,1
"421","6","photosynthesis",51.2473415462456,50.7211203837071,58.9113888650731,45.9759073256235,5.2714342206221,4.7452130580836,12.9354815394496,0,1
"422","6","photosynthesis",53.2955006186,50.3200282724961,60.4049093415681,42.6969436457384,10.5985569728616,7.6230846267577,17.7079656958297,0,1
"443","6","photosynthesis",116.496455403495,98.3081231118985,95.5225611280708,115.202076227693,20.9738942754242,2.78556198382769,0,19.6795150996222,0
"444","6","photosynthesis",103.565651646559,91.6989797723356,102.765600035713,105.058374388831,11.8666718742234,0,11.0666202633774,13.3593946164954,0
"451","6","photosynthesis",95.24077380337,81.8543595716164,67.9509596844047,101.720328593954,27.2898141189653,13.9033998872117,0,33.7693689095493,0
