"id","n","traits","Quadratic","Cubic","Briere","Schoolfield","quad_delta","cubic_delta","bri_delta","sch_delta","sch_best"
"188","7","respiration",-15.799840757161,-19.9070854448318,-4.87938401492666,-16.5146638210114,4.1072446876708,0,15.0277014299051,3.3924216238204,0
"189","7","respiration",-13.7689204624023,-19.0666267177212,-1.64265642336315,-9.00071019214182,5.2977062553189,0,17.423970294358,10.0659165255794,0
"190","7","respiration",-9.80623690859064,-9.24101904628606,-0.120161440185466,-7.36888973724085,0,0.565217862304578,9.68607546840517,2.43734717134979,0
"191","7","respiration",-13.279500532996,-12.9838575302327,-4.81778333932929,-10.2986401059214,0,0.295643002763299,8.46171719366671,2.9808604270746,0
"192","7","respiration",-14.3935937343165,-21.7245753612357,-3.58507742551928,-12.425207518888,7.3309816269192,0,18.1394979357164,9.2993678423477,0
"193","7","respiration",-17.2184354044761,-17.4957782011348,-14.4108101697624,2.62547452597817,0.277342796658701,0,3.0849680313724,20.121252727113,0
"194","6","respiration",-13.052142687264,-14.1923510754926,0.111004944437282,-5.73205065743487,1.1402083882286,0,14.3033560199299,8.46030041805773,0
"196","6","respiration",-10.0030157131006,-9.47161157699698,-10.7345357124343,-1.92387977816947,0.731519999333699,1.26292413543732,0,8.81065593426483,0
"197","6","respiration",-7.42995852991893,-20.9826851724685,-16.8298436299343,-1.12225014212587,13.5527266425496,0,4.1528415425342,19.8604350303426,0
"198","6","respiration",-7.60645286961,-12.6196474097754,-11.1839459347243,-29.2584381722209,21.6519853026109,16.6387907624455,18.0744922374966,0,1
"199","6","respiration",-9.04239330393552,-10.000599814304,-12.3058449861743,-11.309544580212,3.26345168223878,2.3052451718703,0,0.9963004059623,1
"200","6","respiration",-17.3004688032657,-22.6476416278178,-10.6726624031207,-10.4221786801319,5.3471728245521,0,11.9749792246971,12.2254629476859,0
"207","9","respiration",-41.7204171754827,-39.8648156164438,-41.4960901453714,-38.2880044921383,0,1.8556015590389,0.224327030111304,3.4324126833444,0
"208","8","respiration",-30.000075827893,-28.2460053382561,-28.9701883967843,-27.2589206530263,0,1.7540704896369,1.0298874311087,2.7411551748667,0
"209","8","respiration",-32.6897917628959,-35.1336742335747,-32.583873147561,-33.7023667138901,2.4438824706788,0,2.5498010860137,1.4313075196846,1
"212","6","respiration",41.9635503014031,17.2858348081361,43.0180830324181,44.8351659598136,24.677715493267,0,25.732248224282,27.5493311516775,0
"213","6","respiration",28.4506451810363,11.328889443757,29.7400283277909,34.390507181893,17.1217557372793,0,18.4111388840339,23.061617738136,0
"214","13","respiration",-21.3900127414502,-21.2902990185609,-13.4735213931291,-18.0810121992638,0,0.0997137228892981,7.9164913483211,3.3090005421864,0
"215","15","respiration",-27.6878673327036,-26.5450910362409,-27.4113485303476,-22.5863212182575,0,1.1427762964627,0.276518802356001,5.1015461144461,0
"222","10","respiration",51.2195317472004,52.9143050935371,51.0739662216311,52.8844839620109,0.145565525569296,1.840338871906,0,1.81051774037979,1
"223","6","respiration",-6.88586404577019,-10.0329223281146,-12.6185270096654,-8.08833190118727,5.73266296389521,2.5856046815508,0,4.53019510847813,0
"224","6","respiration",-3.32177676823905,-10.9528680865641,-3.29340973910874,-4.22548993564663,7.63109131832505,0,7.65945834745536,6.72737815091747,0
"225","6","respiration",-11.1594172100289,-9.18534663832445,-2.34103629549177,-4.1558625555098,0,1.97407057170445,8.81838091453713,7.0035546545191,0
"226","6","respiration",-5.71335924166354,-3.76086712151842,-4.82767112845637,-3.5698441387636,0,1.95249212014512,0.885688113207171,2.14351510289994,0
"229","8","respiration",53.4498032209311,54.0199101873588,54.1780667670601,54.7160283914905,0,0.570106966427701,0.728263546129,1.26622517055939,1
"230","8","respiration",33.0352551616629,19.5353643069631,38.2445425047931,32.6244166636293,13.4998908546998,0,18.70917819783,13.0890523566662,0
"232","8","respiration",37.2896501719039,34.1068784955767,45.5088012737126,45.5587652527709,3.1827716763272,0,11.4019227781359,11.4518867571942,0
"233","8","respiration",29.5566969738798,24.2530796365959,35.2465448272126,28.1023478496727,5.3036173372839,0,10.9934651906167,3.8492682130768,0
"234","8","respiration",49.3776571531481,50.7951678877268,55.4545073419265,55.0346600428063,0,1.4175107345787,6.0768501887784,5.6570028896582,0
"236","6","respiration",-0.164201490458899,0.88566133426972,3.44370098551566,2.67342141167873,0,1.04986282472862,3.60790247597456,2.83762290213763,0
"238","16","respiration",31.9025732047089,29.2110416891482,26.745476192266,22.6802559520139,9.222317252695,6.5307857371343,4.0652202402521,0,1
"239","35","respiration",123.602413585659,94.572293488205,89.6753365794085,96.1128670019062,33.9270770062505,4.89695690879651,0,6.4375304224977,0
"240","6","respiration",5.85298981193648,-1.73308858998811,13.4567954546982,11.2056968738039,7.58607840192459,0,15.1898840446863,12.938785463792,0
"248","6","respiration",6.84839900243254,-7.45553441105395,15.9350451761667,12.1663122925134,14.3039334134865,0,23.3905795872206,19.6218467035673,0
"261","8","respiration",17.6900718467568,10.5413965470005,4.57222085225989,15.4863451354745,13.1178509944969,5.96917569474061,0,10.9141242832146,0
"264","7","respiration",13.3393299754597,-20.599856850918,2.24268067500731,-2.04305151362694,33.9391868263777,0,22.8425375259253,18.5568053372911,0
"265","8","respiration",13.9967912091736,9.2911229679763,6.70476727843611,13.0133920190035,7.29202393073749,2.58635568954019,0,6.30862474056739,0
"267","6","respiration",14.4867647982542,13.9896659869503,20.6531805437637,13.9366141417162,0.550150656537999,0.0530518452340996,6.7165664020475,0,1
"268","6","respiration",17.2438184282576,18.634964417845,18.7639838058285,15.2455478542641,1.9982705739935,3.3894165635809,3.5184359515644,0,1
"270","9","respiration",29.5619664891596,24.3727047768721,30.5817538572363,36.1932344020083,5.1892617122875,0,6.2090490803642,11.8205296251362,0
"272","10","respiration",24.1240801168534,25.007181940397,32.86971020856,26.8608206290955,0,0.883101823543601,8.7456300917066,2.7367405122421,0
"273","10","respiration",36.1937499547601,36.8619127537044,44.1161438137816,56.2466996327023,0,0.668162798944302,7.9223938590215,20.0529496779422,0
"303","23","respiration",79.1870145843121,79.6886205565937,79.5500179868169,81.1366704936821,0,0.50160597228161,0.363003402504802,1.94965590937001,1
"306","6","respiration",18.9273983965375,14.3608371278049,19.9739991592188,21.5865085107109,4.5665612687326,0,5.6131620314139,7.225671382906,0
