id,n,sch.B0,sch.E,sch.Th,sch.Eh,sch.chisqr,sch.Rsq,sch.aic,sch.bic,sch.aicc,sch.Rsq_log,sch.aic_log,sch.bic_log,sch.aicc_log
440,10,0.4142273311084249,0.5319649504048485,304.74674975836416,2.1471698719971872,0.12024676597042652,0.9678949887046254,-21.57330708241623,-20.362966710440045,-13.573307082416228,0.9513951691940024,-4.618832539618314,-5.8291729115944975,2.1708270884055025
447,6,948.3692400254868,0.022326044319038903,336.94176422627146,1.2300559003239577e-05,2.12819892972185,-0.09137050091448451,93.73665295942644,92.90369083633865,133.73665295942644,0.0024437683336895333,19.975399754734205,20.808361877821987,60.80836187782199
448,6,209.37251927267062,0.17183762603149308,315.0257456905072,4.844760994757854,0.2932423013168797,0.4613088204086404,77.45154449530395,76.61858237221617,117.45154449530395,0.432847351435516,8.083207191427753,8.916169314515535,48.916169314515535
449,6,56.84962281437085,0.4459928115795702,322.9936710781007,100.0,0.505849736611954,0.8854130434900718,72.66252537460953,71.82956325152175,112.66252537460953,0.8011748204658762,11.354649757913194,12.187611881000972,52.187611881000976
450,6,272.0521320798832,0.12810663172171502,326.88870383341873,0.000134926506355683,0.5545889797729507,0.27291625485977045,76.23538289979082,75.40242077670304,116.23538289979082,0.23358553163326157,11.906575360496088,12.739537483583868,52.73953748358387
455,6,161.7935482894485,1.0333549401975314e-06,342.92397410507647,22.94182049428798,1.2983318668719406,-0.04993477820591341,79.58775682461334,78.75479470152555,119.58775682461334,-3.3030547874624006e-07,17.01022502695197,17.84318715003975,57.84318715003975
456,6,194.10238748787427,0.09881912566332646,317.25027979410436,99.04714254436273,0.7087728953991138,0.1531950216667558,81.83757591800648,81.0046137949187,121.83757591800648,0.12300937522771416,13.37842273671291,14.21138485980069,54.21138485980069
457,6,1.4211660322612514,15.93829165053016,285.3864376252937,15.742593512777981,0.3473715356467272,0.7092968297315563,79.08299789060415,78.25003576751637,119.08299789060415,0.7660844230109585,9.099581276488797,9.932543399576577,49.93254339957657
458,6,70.51604315077613,0.461782534145771,315.5188868959749,34.31964296990217,0.362862764388583,0.8310691691815701,76.78858291180747,75.95562078871968,116.78858291180747,0.8444325197001076,9.3613600055876,10.19432212867538,50.19432212867538
462,12,0.11741106098343326,1.202202112849296,318.6071337208682,2.5924999914647477,14.384840131974743,0.6397895909449683,63.136422643150574,65.07604924230257,68.85070835743629,-0.04205027825105101,48.16937019963579,46.22974360048379,51.94402931476951
