id,n,cubic.a,cubic.b1,cubic.b2,cubic.b3,cubic.Rsq,cubic.aic,cubic.bic,cubic.aicc
264,7,-0.0009871626799925932,0.06429921678065662,-1.2346354534199901,7.89154972631362,0.9979297821721452,-20.599856850917963,-20.81621625469671,-0.5998568509179627
265,8,-0.0007752928842942396,0.05446407341653153,-1.1281231361739246,7.267706242375716,0.8434427503202817,9.2911229679763,9.608889134695644,22.624456301309635
267,6,0.008048113659800621,-0.9394433365971991,33.850529565400876,-341.41819897119296,0.9903104113743135,13.989665986950309,13.156703863862528,53.98966598695031
268,6,-0.005309114511954337,0.5082033627820265,-15.501567993206221,168.1234000578626,0.7924918884045999,18.63496441784497,17.802002294757187,58.63496441784497
270,9,-0.010450878557236462,1.061324887692977,-34.44174238738966,359.71304838525606,0.8129828058801953,24.37270477687214,25.16160308621702,34.37270477687214
272,10,0.0016649213880129273,-0.18037198543492494,6.127596532796284,-55.723765607600335,0.4802344367525122,25.007181940397007,26.21752231237319,33.007181940397004
273,10,-0.003300889584679247,0.3123120548952342,-9.660928362003522,112.69829331347384,0.9296913038966176,36.86191275370441,38.07225312568059,44.86191275370441
293,6,-0.0013445307927617014,0.08100349130724424,-1.2391982323976898,7.149795897222695,0.9350805384652322,18.41477855257242,17.58181642948464,58.41477855257242
303,23,-0.0016368810535068285,0.12391375847789975,-2.5144518541362255,22.45482023512045,0.8812338365524321,79.68862055659373,84.23059742031033,81.91084277881596
306,6,-0.0011824645349052005,0.08768941177054648,-1.9235957526555036,13.758339990241861,0.8813712537896317,14.360837127804883,13.527875004717103,54.360837127804885
307,6,0.00023863341640256654,-0.011603097781289986,0.1808401917414033,-0.2905787944159516,0.9903457721550835,-6.663135506092056,-7.496097629179836,33.336864493907946
308,24,0.0003239604268349615,-0.021617902541080525,0.4779205956423993,-2.4672835155825474,0.5691742919407194,27.696474505169252,32.40868982656104,29.80173766306399
320,11,8.503335814097288e-05,-0.003693313158921437,0.11252628162973197,-0.6245656404471878,0.9915785285988737,-32.34625127580948,-30.754670184615996,-25.67958460914281
321,16,4.42514275698344e-05,-0.0010433195707503639,0.022270128686857422,0.14981142463501132,0.9623252219412879,-37.440756037145846,-34.35040114818672,-33.80439240078221
343,9,0.014687887323943837,-0.9461239436619826,22.429211267605865,-145.42007042253687,0.9729974261323806,61.00456688641487,61.79346519575975,71.00456688641486
378,6,0.0012336821481333507,-0.037033317106479974,0.4223756549370025,0.523483204662105,0.9998592930080605,-10.371012127236838,-11.203974250324618,29.62898787276316
