id,n,sch.B0,sch.E,sch.Th,sch.Eh,sch.chisqr,sch.Rsq,sch.aic,sch.bic,sch.aicc,sch.Rsq_log,sch.aic_log,sch.bic_log,sch.aicc_log
612,6,1.1012302551343056,0.2883749717847858,303.4466648572641,50.0,0.192196910679656,0.6617422536028218,11.345326982982906,10.512364859895126,51.345326982982904,0.7469658031942952,5.548334323747632,6.381296446835412,46.381296446835414
613,6,6.046835488497403,0.2781974977938758,304.02386867083715,14.385269267900652,0.018670159711422704,0.965268546018757,16.737022334686852,15.904060211599072,56.737022334686856,0.9637013533204483,-8.44122914214164,-7.60826701905386,32.39173298094614
614,6,9.276427665514989,0.18493885611893696,303.9983872680706,2.997666872492179e-06,0.22514264363056202,0.6537573541886361,26.706237313274944,25.873275190187165,66.70623731327494,0.5572971975217411,6.497616824231034,7.3305789473188145,47.33057894731881
627,6,6.612251003835688,0.999032459786328,293.38662112645164,2.2790049244181763,0.23302394536955004,0.925594173977173,28.33711705565824,27.504154932570458,68.33711705565824,0.9384130323730723,6.704059094776971,7.537021217864751,47.53702121786475
628,6,7.761573984884567,1.2946723067772214,288.114220887055,1.6241691246363743,0.31706441423580606,0.9026265029154578,28.554830602282784,27.721868479195003,68.55483060228278,0.9003308096530899,8.55184150240974,9.38480362549752,49.38480362549752
629,6,2.1496372917556812e+20,30.0,273.1768544220405,29.563620151360993,0.04396041963923947,0.9699039819814651,32.514240410058484,31.681278286970702,72.51424041005848,0.9871338441883323,-3.3030501613523278,-2.4700880382645476,37.52991196173545
630,6,7.5763936607404725,1.0061499659680422,293.38784095317135,2.092455244642816,0.07446887310115026,0.9780190747777584,24.06056501779272,23.227602894704937,64.06056501779273,0.9790311115671174,-0.14050084975998622,0.692461273327794,40.692461273327794
631,6,2.1110082375334242e+20,30.0,273.15413766566473,29.571795079971167,0.1015646732974273,0.9360091746646545,34.94183730875033,34.10887518566255,74.94183730875034,0.968641427611436,1.721386411602733,2.5543485346905133,42.55434853469051
632,6,6.404285089325068,1.207696124446713,293.24505319924197,2.718454376649376,0.2746081351448361,0.9709980578144112,26.30248241026957,25.469520287181787,66.30248241026956,0.9377367871400084,7.68928249609583,8.52224461918361,48.52224461918361
633,6,1.3647752003885313e+20,30.0,273.2303698572402,29.612967514069908,0.050559614380651055,0.9642077548410458,28.9174943858839,28.084532262796117,68.9174943858839,0.9847349552148639,-2.4638694768255895,-1.6309073537378094,38.36909264626219
634,6,7.407389106592345,0.6207342996620988,298.24052269234284,50.0,0.5010788740171132,0.7703527532627578,37.44412287531666,36.611160752228876,77.44412287531665,0.8401010491870441,11.297792917275867,12.130755040363647,52.130755040363645
635,6,4.020274805226889e+19,30.0,273.3350789690247,29.582451392487087,0.017064896170567126,0.9939830324023274,11.59429944257894,10.761337319491162,51.594299442578944,0.9963028211280531,-8.98064722595194,-8.147685102864159,31.85231489713584
636,6,2.88477212649429,1.0985923686421548,295.20157732618736,1.3886871954864193,0.01621343103422294,0.9953726581107442,9.89861921558653,9.06565709249875,49.89861921558653,0.9974738827776758,-9.287748364306138,-8.454786241218358,31.545213758781642
639,6,0.10686253793219298,1.0928346987568511,303.2063019751956,1.916813805772258,0.1631246933646077,0.9773019068004718,-7.929392957756887,-8.762355080844667,32.07060704224311,0.9623354457061514,4.564301176015121,5.397263299102901,45.3972632991029
640,6,0.2631720026538846,0.6738877648943555,308.39203263601104,50.0,0.22265034679793158,0.9872374473876656,-4.366578179000767,-5.199540302088547,35.63342182099923,0.9329801961469911,6.430827322260091,7.2637894453478715,47.26378944534787
641,6,0.9159677590094747,0.260291705071349,335.0961631849956,7.025216150806428e-05,0.05976001714079363,0.916069416494555,-4.794632738892771,-5.627594861980551,35.20536726110723,0.8976604731785336,-1.4607672479825204,-0.6278051248947403,39.37219487510526
