id,n,quad.a,quad.b1,quad.b2,quad.Rsq,quad.aic,quad.bic,quad.aicc
240,6,0.015154346139158009,-0.4222527298712038,4.844659809310771,0.9981918535906136,5.852989811936483,5.228268219620649,17.85298981193648
248,6,0.00874324059602931,-0.1737205706717564,8.69748098801235,0.9953672434303114,6.848399002432537,6.223677410116703,18.848399002432537
254,12,0.0003569106727558449,-0.012919668302424062,0.3263883059058456,0.7083313995504341,-55.2994015118926,-53.84468156252859,-52.2994015118926
255,7,0.002201770028288071,-0.058598621702822755,0.913830029537707,0.8740551974138082,-34.71990476832451,-34.88217432115857,-26.71990476832451
261,8,-0.002716129789693636,0.1954628525134945,-2.229107510836339,0.5764052160559996,17.69007184675683,17.928396471796336,23.69007184675683
262,8,-0.0006632649624051027,0.06022620647156389,-0.5808530105510348,0.7216090608259359,-1.2729360835892667,-1.0346114585497599,4.727063916410733
263,8,-0.0060338837712188695,0.5872815734335808,-6.943825685692159,0.8838020359070918,27.59377358038504,27.832098205424547,33.59377358038504
264,7,-0.007019445633412481,0.3705903665302008,-3.2405592339543112,0.648635769483178,13.339329975459663,13.177060422625603,21.339329975459663
265,8,-0.0015642685118003425,0.13588193405914087,-1.5290995527158107,0.6380050411548428,13.99679120917364,14.235115834213147,19.99679120917364
267,6,-0.1333113881062929,8.032891924986352,-83.12781463971089,0.9853089993338955,14.486764798254166,13.862043205938331,26.486764798254164
268,6,-0.023706566413765486,1.537168963532665,-2.364019930418182,0.770329402097821,17.243818428257605,16.61909683594177,29.243818428257605
270,9,-0.01807828911093582,1.0508112421486369,-2.013993298454184,0.5842818873674079,29.561966489159595,30.153640221168253,34.3619664891596
272,10,-0.002729313228718539,0.12013958289149058,6.703129260488517,0.4188158340218463,24.124080116853353,25.03183539583549,28.124080116853353
273,10,-0.039890251230825215,2.249897950892895,-11.0751610181016,0.9196751360563031,36.193749954760094,37.10150523374224,40.193749954760094
293,6,-0.009536090740369273,0.6239271201204719,-4.2616119240563375,0.8521037903044707,21.354958314076505,20.730236721760672,33.354958314076505
303,23,0.005429382362560829,0.22498210528521442,2.29301023208039,0.8732389125853505,79.18701458431208,82.59349723209954,80.45017247904892
306,6,0.004726737540057292,-0.13354595901842997,2.1373753384444973,0.6456001785822194,18.92739839653753,18.302676804221697,30.92739839653753
307,6,0.005105497585569952,-0.17873902482782453,2.0354687883282176,0.9643632675030396,-0.827249628675709,-1.4519712209915436,11.172750371324291
308,24,0.0019204703343055976,-0.0502228192968997,1.1253146238732965,0.47948927131272057,30.235039660004382,33.76920115104822,31.43503966000438
320,11,0.0012093694428076602,0.022671565735519254,-0.1042372884073295,0.9907127897705524,-33.26986117219681,-32.0761753538017,-29.841289743625385
321,16,0.002060705175939744,-0.0481131235355951,0.6640703012516462,0.9620792737052953,-39.33664440526049,-37.01887823854115,-37.33664440526049
343,9,0.14416923076923083,-3.3762769230769254,47.9516153846154,0.9573403923386586,63.12044982253328,63.71212355454194,67.92044982253329
